GMT,SWEAT index,Showalter index,LIFTED index,K index,Cross totals index,Vertical totals index,Totals totals index,TLCL,PLCL,CINE,CAPE,PRECIPITABLE WATER,1000-500 THICKNESS,prob,Date,TH
0,162.4,5.3,3.4,31.0,22.3,25.1,47.4,286.7,968.37,0.0,0.0,30.8,5595,,26/01/1981,0
12,145.6,0.3,-2.8,31.0,21.1,28.5,49.6,286.19,887.19,-181.8,462.4,29.0,5621,,26/01/1981,0
0,129.0,1.9,-0.6,12.6,22.5,26.9,49.4,287.66,965.59,-107.0,143.5,22.9,5591,,27/01/1981,0
12,146.8,1.3,-2.4,13.0,22.1,25.9,48.0,286.87,875.9,-216.9,458.2,26.6,5637,,27/01/1981,0
0,140.1,4.7,2.6,9.6,18.7,24.3,43.0,286.85,963.12,0.0,0.0,20.6,5608,,28/01/1981,0
12,66.0,6.8,5.2,0.4,2.8,22.5,25.3,281.32,835.56,0.0,0.0,15.6,5639,,28/01/1981,0
12,114.1,6.0,2.7,9.2,12.3,22.9,35.2,286.14,876.33,-369.4,14.7,24.3,5671,,29/01/1981,0
0,180.6,4.4,1.2,29.8,21.9,27.5,49.4,288.95,983.26,0.0,0.0,31.7,5656,,30/01/1981,0
12,218.0,-3.9,-7.8,26.4,23.7,28.7,52.4,289.66,906.05,-93.5,1566.6,26.8,5611,,30/01/1981,0
0,337.6,0.4,-4.9,36.0,24.9,29.7,54.6,292.69,980.42,-74.7,849.0,36.9,5677,,31/01/1981,1
12,440.9,-2.4,-6.9,38.6,28.9,30.1,59.0,291.72,962.2,-44.3,1160.8,36.6,5607,,31/01/1981,1
0,306.8,1.1,-6.9,36.5,26.1,27.1,53.2,289.56,1000.96,0.0,0.0,33.2,5583,,01/02/1981,1
12,177.9,-1.5,-5.7,29.0,23.9,24.9,48.8,291.64,972.82,-10.4,1180.0,31.8,5576,,01/02/1981,1
0,56.3,3.3,0.5,13.8,11.6,26.9,38.5,288.97,990.55,-57.2,63.6,23.8,5596,,02/02/1981,0
12,123.5,5.3,1.8,14.6,15.5,19.5,35.0,287.7,910.2,-72.7,211.7,29.8,5614,,02/02/1981,0
0,71.9,9.1,8.9,7.2,14.9,20.7,35.6,281.9,912.77,0.0,0.0,24.2,5617,,03/02/1981,0
12,31.0,6.1,3.5,4.8,-2.6,17.5,14.9,285.26,887.68,-130.3,51.0,24.2,5632,,03/02/1981,0
0,126.5,11.4,10.0,7.8,13.5,18.5,32.0,285.73,968.52,0.0,0.0,23.6,5640,,04/02/1981,0
12,81.5,8.8,5.9,3.6,6.0,21.5,27.5,285.26,887.68,0.0,0.0,22.1,5681,,04/02/1981,0
